owner_username,license_plate,parking_area_name,spot_identifier,start_time,end_time,status,total_cost
"priya_k","MH-02-FZ-8890","BKC One Corporate Hub","BKC-101","2025-07-30T11:00:00Z","2025-07-30T15:00:00Z","completed","400.00"
"mohan_r","TN-07-CQ-4512","Phoenix MarketCity Parking","PMC-25","2025-07-29T18:00:00Z","2025-07-29T20:30:00Z","completed","150.00"
"arjun_s","KA-05-MP-5678","Forum Mall Koramangala","FMK-1","2025-08-01T10:00:00Z","","active",""
"neha_s","DL-03-CA-1234","Connaught Place Central Circle","CPC-15","2025-08-02T14:00:00Z","","pending",""
"vikram_r","TS-09-FT-3321","Hitech City Cyber Towers","HCT-312","2025-07-31T09:30:00Z","2025-07-31T18:30:00Z","completed","585.00"
"aditya_p","KA-51-MJ-4747","Forum Mall Koramangala","FMK-2","2025-08-01T11:00:00Z","","active",""
"deepak_j","MH-12-RT-8000","BKC One Corporate Hub","BKC-102","2025-08-01T09:00:00Z","","active",""
"kavita_n","TN-38-BQ-1111","Phoenix MarketCity Parking","PMC-26","2025-07-28T14:00:00Z","2025-07-28T15:15:00Z","completed","100.00"
"pooja_c","WB-06-KK-9988","Park Street Gourmet Parking","PSG-50","2025-07-27T20:00:00Z","2025-07-27T23:00:00Z","completed","225.00"
"karan_t","DL-01-CT-7654","Khan Market Premium Park","KMP-5","2025-07-26T19:00:00Z","2025-07-26T21:00:00Z","completed","300.00"
"sunita_g","KA-01-FQ-0007","100ft Road Valet Park","RVP-30","2025-07-30T12:00:00Z","2025-07-30T16:30:00Z","completed","450.00"
"rohan_m","MH-01-DX-2022","Colaba Sea-View Lot","CSV-12","2025-07-29T16:00:00Z","2025-07-29T18:00:00Z","completed","240.00"
"sanjay_b","DL-05-CS-9876","Elante Mall Parking","EMP-240","2025-08-03T17:00:00Z","","pending",""
"isha_d","GJ-05-JS-1212","Lulu International Mall Lot","LIM-500","2025-08-04T11:00:00Z","","pending",""
"mohan_r","TN-09-BV-4321","T. Nagar Skywalk Plaza","TNP-88","2025-07-31T13:00:00Z","2025-07-31T16:45:00Z","completed","240.00"
"arjun_s","KA-03-MY-7890","100ft Road Valet Park","RVP-31","2025-08-01T12:00:00Z","","active",""
"priya_k","MH-43-AD-5555","Colaba Sea-View Lot","CSV-13","2025-07-25T18:00:00Z","2025-07-25T22:00:00Z","completed","480.00"
"vikram_r","TS-08-EU-2468","Hitech City Cyber Towers","HCT-313","2025-08-05T09:00:00Z","","pending",""
"pooja_c","WB-20-BE-1999","Park Street Gourmet Parking","PSG-51","2025-08-01T13:30:00Z","","active",""
"kavita_n","KL-01-CX-3000","Lulu International Mall Lot","LIM-501","2025-07-28T10:00:00Z","2025-07-28T19:00:00Z","completed","405.00"